Hole ID,From,To,Au_ppm
DPD119,92.23,93.2,2.81
DPD119,93.2,94.2,4.19
DPD119,94.2,95.2,0.32
DPD119,95.2,96.2,0.16
DPD119,96.2,97.5,1.47
DPD119,97.5,98.5,0.79
DPD119,98.5,99.5,0.73
DPD119,99.5,100.5,0.88
DPD119,100.5,101.5,0.48
DPD119,101.5,102.5,0.2
DPD119,193,194.27,0.5
DPD119,194.27,195.3,0.27
DPD119,195.3,196.3,0.52
DPD119,196.3,197.3,0.42
DPD119,197.3,198.29,0.25
DPD119,198.29,198.7,0.94
DPD119,198.7,200,1.18
DPD119,200,201,2.36
DPD119,201,202,3.1
DPD119,202,203.27,2.77
DPD119,203.27,204.27,1.41
DPD119,204.27,205.27,0.84
DPD119,205.27,206.27,1.11
DPD119,206.27,207.27,4.08
DPD119,207.27,208.27,0.75
DPD119,208.27,209.27,3.61
DPD119,209.27,210.27,3.39
DPD119,210.27,211.27,1.41
DPD119,211.27,212.27,0.61
DPD119,212.27,213.27,0.5
DPD119,213.27,214.27,0.25
DPD119,214.27,215.27,0.2
DPD119,215.27,216.27,0.11
DPD119,216.27,217.27,0.06
DPD119,217.27,218.27,0.19
DPD119,218.27,219.27,0.38
DPD119,219.27,220.27,0.34
DPD119,220.27,221.27,0.23
DPD119,221.27,222.27,0.09
DPD119,222.27,223.27,0.24
DPD119,223.27,224.27,0.34
DPD119,224.27,225.27,1.06
DPD119,225.27,226.27,0.37
DPD119,226.27,227.27,0.5
DPD119,227.27,228.27,2.3
DPD119,228.27,229.27,1.12
DPD119,229.27,230.27,0.32
DPD120,90.5,91.5,4.22
DPD120,91.5,92.5,2.27
DPD120,92.5,93.5,0.18
DPD120,93.5,94.5,0.14
DPD120,94.5,95.5,0.15
DPD120,95.5,96.5,0.22
DPD120,96.5,97.5,0.27
DPD120,97.5,98.5,0.3
DPD120,98.5,99.5,0.16
DPD120,99.5,100.5,0.47
DPD120,100.5,101.5,0.25
DPD120,101.5,102.5,0.2
DPD120,102.5,103.5,0.12
DPD120,103.5,104.5,0.22
DPD120,104.5,105.5,0.41
DPD120,105.5,106.5,0.3
